sentence,entity1,entity2,label
"In the context of feature-based matching , SIFT and its variants have long excelled in a wide array of applications .",SIFT,feature-based matching,USED-FOR
"However , for ultra-wide baselines , as in the case of aerial images captured under large camera rotations , the appearance variation goes beyond the reach of SIFT and RANSAC .",large camera rotations,aerial images,FEATURE-OF
"However , for ultra-wide baselines , as in the case of aerial images captured under large camera rotations , the appearance variation goes beyond the reach of SIFT and RANSAC .",SIFT,RANSAC,CONJUNCTION
"In this paper we propose a data-driven , deep learning-based approach that sidesteps local correspondence by framing the problem as a classification task .",classification task,problem,USED-FOR
"We train our models on a dataset of urban aerial imagery consisting of ` same ' and ` different ' pairs , collected for this purpose , and characterize the problem via a human study with annotations from Amazon Mechanical Turk .",dataset of urban aerial imagery,models,USED-FOR
"We train our models on a dataset of urban aerial imagery consisting of ` same ' and ` different ' pairs , collected for this purpose , and characterize the problem via a human study with annotations from Amazon Mechanical Turk .",human study,problem,USED-FOR
"We train our models on a dataset of urban aerial imagery consisting of ` same ' and ` different ' pairs , collected for this purpose , and characterize the problem via a human study with annotations from Amazon Mechanical Turk .",annotations from Amazon Mechanical Turk,human study,USED-FOR
We demonstrate that our models outperform the state-of-the-art on ultra-wide baseline matching and approach human accuracy .,models,state-of-the-art,COMPARE
We demonstrate that our models outperform the state-of-the-art on ultra-wide baseline matching and approach human accuracy .,models,human accuracy,COMPARE
We demonstrate that our models outperform the state-of-the-art on ultra-wide baseline matching and approach human accuracy .,ultra-wide baseline matching,models,EVALUATE-FOR
We demonstrate that our models outperform the state-of-the-art on ultra-wide baseline matching and approach human accuracy .,ultra-wide baseline matching,state-of-the-art,EVALUATE-FOR
"We argue that a more sophisticated and fine-grained annotation in the tree-bank would have very positve effects on stochastic parsers trained on the tree-bank and on grammars induced from the treebank , and it would make the treebank more valuable as a source of data for theoretical linguistic investigations .",fine-grained annotation,stochastic parsers,USED-FOR
